Date,ticker,stock,holdings,cash,total,returns
2019-01-02,OCUL,0.0,0.0,3000.0,3000.0,
2019-01-03,OCUL,0.0,0.0,3000.0,3000.0,0.0
2019-01-04,OCUL,123.6,123.6,2876.4,3000.0,0.0
2019-01-07,OCUL,0.0,0.0,3009.0,3009.0,0.003
2019-01-08,OCUL,0.0,0.0,3009.0,3009.0,0.0
2019-01-09,OCUL,0.0,0.0,3009.0,3009.0,0.0
2019-01-10,OCUL,0.0,0.0,3009.0,3009.0,0.0
2019-01-11,OCUL,0.0,0.0,3009.0,3009.0,0.0
2019-01-14,OCUL,0.0,0.0,3009.0,3009.0,0.0
2019-01-15,OCUL,0.0,0.0,3009.0,3009.0,0.0
2019-01-16,OCUL,0.0,0.0,3009.0,3009.0,0.0
2019-01-17,OCUL,119.1,119.1,2889.9,3009.0,0.0
2019-01-18,OCUL,119.1,119.1,2889.9,3009.0,0.0
2019-01-22,OCUL,0.0,0.0,3006.9,3006.9,-0.0007
2019-01-23,OCUL,0.0,0.0,3006.9,3006.9,0.0
2019-01-24,OCUL,0.0,0.0,3006.9,3006.9,0.0
2019-01-25,OCUL,0.0,0.0,3006.9,3006.9,0.0
2019-01-28,OCUL,114.6,114.6,2892.3,3006.9,0.0
2019-01-29,OCUL,113.7,113.7,2892.3,3006.0,-0.0003
2019-01-30,OCUL,114.3,114.3,2892.3,3006.6,0.0002
2019-01-31,OCUL,114.3,114.3,2892.3,3006.6,0.0
2019-02-01,OCUL,0.0,0.0,3006.0,3006.0,-0.0002
2019-02-04,OCUL,114.6,114.6,2891.4,3006.0,0.0
2019-02-05,OCUL,114.9,114.9,2891.4,3006.3,0.0001
2019-02-06,OCUL,114.6,114.6,2891.4,3006.0,-0.0001
2019-02-07,OCUL,0.0,0.0,3003.3,3003.3,-0.0009
2019-02-08,OCUL,0.0,0.0,3003.3,3003.3,0.0
2019-02-11,OCUL,0.0,0.0,3003.3,3003.3,0.0
2019-02-12,OCUL,0.0,0.0,3003.3,3003.3,0.0
2019-02-13,OCUL,0.0,0.0,3003.3,3003.3,0.0
2019-02-14,OCUL,111.0,111.0,2892.3,3003.3,0.0
2019-02-15,OCUL,110.4,110.4,2892.3,3002.7,-0.0002
2019-02-19,OCUL,109.8,109.8,2892.3,3002.1,-0.0002
2019-02-20,OCUL,111.0,111.0,2892.3,3003.3,0.0004
2019-02-21,OCUL,111.6,111.6,2892.3,3003.9,0.0002
2019-02-22,OCUL,116.1,116.1,2892.3,3008.4,0.0015
2019-02-25,OCUL,0.0,0.0,3019.8,3019.8,0.0038
2019-02-26,OCUL,0.0,0.0,3019.8,3019.8,0.0
2019-02-27,OCUL,140.7,140.7,2879.1,3019.8,-0.0
2019-02-28,OCUL,140.4,140.4,2879.1,3019.5,-0.0001
2019-03-01,OCUL,0.0,0.0,3013.8,3013.8,-0.0019
2019-03-04,OCUL,0.0,0.0,3013.8,3013.8,0.0
2019-03-05,OCUL,141.6,141.6,2872.2,3013.8,-0.0
2019-03-06,OCUL,137.1,137.1,2872.2,3009.3,-0.0015
2019-03-07,OCUL,0.0,0.0,3001.2,3001.2,-0.0027
2019-03-08,OCUL,0.0,0.0,3001.2,3001.2,0.0
2019-03-11,OCUL,0.0,0.0,3001.2,3001.2,0.0
2019-03-12,OCUL,0.0,0.0,3001.2,3001.2,0.0
2019-03-13,OCUL,131.1,131.1,2870.1,3001.2,0.0
2019-03-14,OCUL,0.0,0.0,2996.1,2996.1,-0.0017
2019-03-15,OCUL,0.0,0.0,2996.1,2996.1,0.0
2019-03-18,OCUL,0.0,0.0,2996.1,2996.1,0.0
2019-03-19,OCUL,0.0,0.0,2996.1,2996.1,0.0
2019-03-20,OCUL,0.0,0.0,2996.1,2996.1,0.0
2019-03-21,OCUL,0.0,0.0,2996.1,2996.1,0.0
2019-03-22,OCUL,124.8,124.8,2871.3,2996.1,0.0
2019-03-25,OCUL,0.0,0.0,2989.8,2989.8,-0.0021
2019-03-26,OCUL,0.0,0.0,2989.8,2989.8,0.0
2019-03-27,OCUL,0.0,0.0,2989.8,2989.8,0.0
2019-03-28,OCUL,0.0,0.0,2989.8,2989.8,0.0
2019-03-29,OCUL,120.6,120.6,2869.2,2989.8,-0.0
2019-04-01,OCUL,0.0,0.0,2988.9,2988.9,-0.0003
2019-04-02,OCUL,122.1,122.1,2866.8,2988.9,0.0
2019-04-03,OCUL,124.5,124.5,2866.8,2991.3,0.0008
2019-04-04,OCUL,126.9,126.9,2866.8,2993.7,0.0008
2019-04-05,OCUL,130.5,130.5,2866.8,2997.3,0.0012
2019-04-08,OCUL,132.3,132.3,2866.8,2999.1,0.0006
2019-04-09,OCUL,127.8,127.8,2866.8,2994.6,-0.0015
2019-04-10,OCUL,0.0,0.0,2986.8,2986.8,-0.0026
2019-04-11,OCUL,0.0,0.0,2986.8,2986.8,0.0
2019-04-12,OCUL,0.0,0.0,2986.8,2986.8,0.0
2019-04-15,OCUL,0.0,0.0,2986.8,2986.8,0.0
2019-04-16,OCUL,0.0,0.0,2986.8,2986.8,0.0
2019-04-17,OCUL,0.0,0.0,2986.8,2986.8,0.0
2019-04-18,OCUL,0.0,0.0,2986.8,2986.8,0.0
2019-04-22,OCUL,0.0,0.0,2986.8,2986.8,0.0
2019-04-23,OCUL,0.0,0.0,2986.8,2986.8,0.0
2019-04-24,OCUL,0.0,0.0,2986.8,2986.8,0.0
2019-04-25,OCUL,119.1,119.1,2867.7,2986.8,-0.0
2019-04-26,OCUL,119.7,119.7,2867.7,2987.4,0.0002
2019-04-29,OCUL,122.7,122.7,2867.7,2990.4,0.001
2019-04-30,OCUL,118.2,118.2,2867.7,2985.9,-0.0015
2019-05-01,OCUL,0.0,0.0,2982.9,2982.9,-0.001
2019-05-02,OCUL,0.0,0.0,2982.9,2982.9,0.0
2019-05-03,OCUL,0.0,0.0,2982.9,2982.9,0.0
2019-05-06,OCUL,0.0,0.0,2982.9,2982.9,0.0
2019-05-07,OCUL,0.0,0.0,2982.9,2982.9,0.0
2019-05-08,OCUL,114.9,114.9,2868.0,2982.9,0.0
2019-05-09,OCUL,111.9,111.9,2868.0,2979.9,-0.001
2019-05-10,OCUL,0.0,0.0,2979.3,2979.3,-0.0002
2019-05-13,OCUL,0.0,0.0,2979.3,2979.3,0.0
2019-05-14,OCUL,0.0,0.0,2979.3,2979.3,0.0
2019-05-15,OCUL,0.0,0.0,2979.3,2979.3,0.0
2019-05-16,OCUL,0.0,0.0,2979.3,2979.3,0.0
2019-05-17,OCUL,0.0,0.0,2979.3,2979.3,0.0
2019-05-20,OCUL,0.0,0.0,2979.3,2979.3,0.0
2019-05-21,OCUL,0.0,0.0,2979.3,2979.3,0.0
2019-05-22,OCUL,0.0,0.0,2979.3,2979.3,0.0
2019-05-23,OCUL,0.0,0.0,2979.3,2979.3,0.0
2019-05-24,OCUL,0.0,0.0,2979.3,2979.3,0.0
2019-05-28,OCUL,0.0,0.0,2979.3,2979.3,0.0
2019-05-29,OCUL,0.0,0.0,2979.3,2979.3,0.0
