Ticker,Date,signals,short avg,long avg,short vol,long vol,positions
OCUL,2019-01-02,0,3.92,3.92,0.0,0.0,0.0
OCUL,2019-01-03,0,4.005,4.005,0.1202,0.1202,0.0
OCUL,2019-01-04,1,4.105,4.0433,0.0212,0.1079,1.0
OCUL,2019-01-07,1,4.27,4.1375,0.2121,0.2079,0.0
OCUL,2019-01-08,1,4.335,4.16,0.1202,0.1869,0.0
OCUL,2019-01-09,0,4.21,4.21,0.0566,0.1321,-1.0
OCUL,2019-01-10,0,4.15,4.218,0.0283,0.124,0.0
OCUL,2019-01-11,0,4.115,4.214,0.0212,0.1282,0.0
OCUL,2019-01-14,0,4.02,4.118,0.1131,0.1143,0.0
OCUL,2019-01-15,0,3.935,4.054,0.0071,0.1115,0.0
OCUL,2019-01-16,0,3.975,4.024,0.0636,0.0907,0.0
OCUL,2019-01-17,1,3.995,3.992,0.0354,0.0698,1.0
OCUL,2019-01-18,1,3.97,3.966,0.0,0.0351,0.0
OCUL,2019-01-22,0,3.935,3.958,0.0495,0.0455,-1.0
OCUL,2019-01-23,0,3.83,3.924,0.099,0.1011,0.0
OCUL,2019-01-24,0,3.665,3.834,0.1344,0.1707,0.0
OCUL,2019-01-25,0,3.625,3.776,0.0778,0.162,0.0
OCUL,2019-01-28,1,3.75,3.746,0.099,0.1272,1.0
OCUL,2019-01-29,1,3.805,3.724,0.0212,0.1006,0.0
OCUL,2019-01-30,1,3.8,3.734,0.0141,0.1074,0.0
OCUL,2019-01-31,1,3.81,3.782,0.0,0.0581,0.0
OCUL,2019-02-01,0,3.8,3.804,0.0141,0.0134,-1.0
OCUL,2019-02-04,1,3.805,3.804,0.0212,0.0134,1.0
OCUL,2019-02-05,1,3.825,3.812,0.0071,0.0148,0.0
OCUL,2019-02-06,1,3.825,3.814,0.0071,0.0152,0.0
OCUL,2019-02-07,0,3.775,3.798,0.0636,0.0409,-1.0
OCUL,2019-02-08,0,3.655,3.756,0.1061,0.1064,0.0
OCUL,2019-02-11,0,3.555,3.698,0.0354,0.1374,0.0
OCUL,2019-02-12,0,3.545,3.644,0.0212,0.125,0.0
OCUL,2019-02-13,0,3.565,3.594,0.0071,0.0783,0.0
OCUL,2019-02-14,1,3.635,3.588,0.0919,0.0653,1.0
OCUL,2019-02-15,1,3.69,3.608,0.0141,0.0766,0.0
OCUL,2019-02-19,1,3.67,3.634,0.0141,0.0647,0.0
OCUL,2019-02-20,1,3.68,3.662,0.0283,0.054,0.0
OCUL,2019-02-21,1,3.71,3.692,0.0141,0.0228,0.0
OCUL,2019-02-22,1,3.795,3.726,0.1061,0.0835,0.0
OCUL,2019-02-25,1,4.06,3.84,0.2687,0.2426,0.0
OCUL,2019-02-26,1,4.525,4.068,0.3889,0.4649,0.0
OCUL,2019-02-27,1,4.745,4.266,0.0778,0.4796,0.0
OCUL,2019-02-28,1,4.685,4.458,0.0071,0.3902,0.0
OCUL,2019-03-01,1,4.585,4.582,0.1344,0.2165,0.0
OCUL,2019-03-04,0,4.59,4.67,0.1414,0.112,-1.0
OCUL,2019-03-05,1,4.705,4.654,0.0212,0.0929,1.0
OCUL,2019-03-06,1,4.645,4.63,0.1061,0.0967,0.0
OCUL,2019-03-07,0,4.435,4.554,0.1909,0.1695,-1.0
OCUL,2019-03-08,0,4.27,4.504,0.0424,0.2219,0.0
OCUL,2019-03-11,0,4.275,4.428,0.0495,0.2068,0.0
OCUL,2019-03-12,0,4.35,4.362,0.0566,0.1279,0.0
OCUL,2019-03-13,1,4.38,4.322,0.0141,0.0597,1.0
OCUL,2019-03-14,0,4.285,4.302,0.1202,0.0817,-1.0
OCUL,2019-03-15,0,4.205,4.296,0.0071,0.0882,0.0
OCUL,2019-03-18,0,4.14,4.248,0.099,0.1327,0.0
OCUL,2019-03-19,0,4.125,4.206,0.0778,0.1074,0.0
OCUL,2019-03-20,0,4.13,4.148,0.0707,0.0676,0.0
OCUL,2019-03-21,0,4.11,4.136,0.0424,0.0611,0.0
OCUL,2019-03-22,1,4.15,4.126,0.0141,0.0488,1.0
OCUL,2019-03-25,0,4.055,4.102,0.1485,0.0928,-1.0
OCUL,2019-03-26,0,3.995,4.074,0.0636,0.0841,0.0
OCUL,2019-03-27,0,4.02,4.058,0.0283,0.0901,0.0
OCUL,2019-03-28,0,4.015,4.036,0.0212,0.0777,0.0
OCUL,2019-03-29,1,4.025,4.008,0.0071,0.0356,1.0
OCUL,2019-04-01,0,4.005,4.016,0.0212,0.0207,-1.0
OCUL,2019-04-02,1,4.03,4.022,0.0566,0.0311,1.0
OCUL,2019-04-03,1,4.11,4.052,0.0566,0.0618,0.0
OCUL,2019-04-04,1,4.19,4.092,0.0566,0.0981,0.0
